atom_class,count,pct_of_all_atoms,n_mols_with,pct_of_mols
c,2208591,38.242523275724594,232839,93.33907919263996
C,2046277,35.43199976866694,248649,99.6768956324788
O,520962,9.020638683562522,228927,91.77086047583732
N,364725,6.315340550486103,211416,84.75115752340102
n,262152,4.5392532894400786,124986,50.10362590447175
F,79430,1.37535814634344,46779,18.752480407287887
N+,71121,1.2314849140890318,65874,26.407167625423423
S,63340,1.0967541859422572,58797,23.570182998937685
Cl,42872,0.7423436289819458,36348,14.570964703052654
s,39087,0.6768050341952163,37003,14.833537110901766
o,30975,0.5363429256324821,29452,11.806538253392395
O-,24276,0.42034740476688087,23109,9.263795073259706
Br,12722,0.22028586601764122,12375,4.96081457577519
n+,5666,0.09810876567017413,5613,2.2501052294000923
N-,1238,0.021436401676610584,1235,0.4950792728147361
I,888,0.015376029635565587,872,0.3495620452586639
S-,446,0.007722645515160194,445,0.17838888777535025
n-,301,0.005211919955298696,301,0.12066304543905715
P,125,0.0021644185860874984,121,0.04850574251869075
o+,12,0.00020778418426439983,12,0.0048104868613577595
O+,6,0.00010389209213219991,6,0.0024052434306788798
S+,5,8.657674344349992e-05,5,0.0020043695255657335
C-,3,5.194604606609996e-05,3,0.0012026217153394399
P+,2,3.4630697377399974e-05,2,0.0008017478102262933
s+,1,1.7315348688699987e-05,1,0.00040087390511314665
